[INFO ] Accuracy: 0.885 <report_model_4:ml.py:532>
[INFO ] F1-score: 0.904 <report_model_4:ml.py:533>
[INFO ] AUC:      0.951 <report_model_4:ml.py:534>
[INFO ]   threshold=0.936: fpr=0.019 tpr=0.663 <report_model_4:report.py:56>
[INFO ]   threshold=0.936: fpr=0.019 tpr=0.663 <report_model_4:report.py:56>
[INFO ]   threshold=0.935: fpr=0.019 tpr=0.665 <report_model_4:report.py:56>
[INFO ]   threshold=0.935: fpr=0.020 tpr=0.665 <report_model_4:report.py:56>
[INFO ]   threshold=0.932: fpr=0.020 tpr=0.672 <report_model_4:report.py:56>
[INFO ]   threshold=0.932: fpr=0.020 tpr=0.672 <report_model_4:report.py:56>
[INFO ]   threshold=0.929: fpr=0.020 tpr=0.677 <report_model_4:report.py:56>
[INFO ]   threshold=0.929: fpr=0.021 tpr=0.677 <report_model_4:report.py:56>
[INFO ]   threshold=0.923: fpr=0.021 tpr=0.691 <report_model_4:report.py:56>
[INFO ]   threshold=0.923: fpr=0.022 tpr=0.691 <report_model_4:report.py:56>
[INFO ]   threshold=0.923: fpr=0.022 tpr=0.692 <report_model_4:report.py:56>
[INFO ]   threshold=0.923: fpr=0.022 tpr=0.692 <report_model_4:report.py:56>
[INFO ]   threshold=0.918: fpr=0.022 tpr=0.701 <report_model_4:report.py:56>
[INFO ]   threshold=0.918: fpr=0.023 tpr=0.701 <report_model_4:report.py:56>
[INFO ]   threshold=0.916: fpr=0.023 tpr=0.706 <report_model_4:report.py:56>
[INFO ]   threshold=0.915: fpr=0.024 tpr=0.706 <report_model_4:report.py:56>
[INFO ]   threshold=0.915: fpr=0.024 tpr=0.707 <report_model_4:report.py:56>
[INFO ]   threshold=0.914: fpr=0.025 tpr=0.707 <report_model_4:report.py:56>
[INFO ]   threshold=0.912: fpr=0.025 tpr=0.709 <report_model_4:report.py:56>
[INFO ]   threshold=0.911: fpr=0.026 tpr=0.709 <report_model_4:report.py:56>
[INFO ]   threshold=0.907: fpr=0.026 tpr=0.718 <report_model_4:report.py:56>
[INFO ]   threshold=0.907: fpr=0.026 tpr=0.718 <report_model_4:report.py:56>
