[INFO ] Accuracy: 0.928 <report_model_3:ml.py:532>
[INFO ] F1-score: 0.941 <report_model_3:ml.py:533>
[INFO ] AUC:      0.971 <report_model_3:ml.py:534>
[INFO ]   threshold=0.958: fpr=0.016 tpr=0.770 <report_model_3:report.py:56>
[INFO ]   threshold=0.958: fpr=0.017 tpr=0.770 <report_model_3:report.py:56>
[INFO ]   threshold=0.957: fpr=0.017 tpr=0.774 <report_model_3:report.py:56>
[INFO ]   threshold=0.956: fpr=0.017 tpr=0.774 <report_model_3:report.py:56>
[INFO ]   threshold=0.955: fpr=0.017 tpr=0.777 <report_model_3:report.py:56>
[INFO ]   threshold=0.955: fpr=0.018 tpr=0.777 <report_model_3:report.py:56>
[INFO ]   threshold=0.955: fpr=0.018 tpr=0.778 <report_model_3:report.py:56>
[INFO ]   threshold=0.955: fpr=0.019 tpr=0.778 <report_model_3:report.py:56>
[INFO ]   threshold=0.954: fpr=0.019 tpr=0.781 <report_model_3:report.py:56>
[INFO ]   threshold=0.954: fpr=0.019 tpr=0.781 <report_model_3:report.py:56>
[INFO ]   threshold=0.953: fpr=0.019 tpr=0.783 <report_model_3:report.py:56>
[INFO ]   threshold=0.953: fpr=0.020 tpr=0.783 <report_model_3:report.py:56>
[INFO ]   threshold=0.952: fpr=0.020 tpr=0.788 <report_model_3:report.py:56>
[INFO ]   threshold=0.952: fpr=0.020 tpr=0.788 <report_model_3:report.py:56>
[INFO ]   threshold=0.952: fpr=0.020 tpr=0.788 <report_model_3:report.py:56>
[INFO ]   threshold=0.952: fpr=0.021 tpr=0.788 <report_model_3:report.py:56>
[INFO ]   threshold=0.952: fpr=0.021 tpr=0.789 <report_model_3:report.py:56>
[INFO ]   threshold=0.952: fpr=0.022 tpr=0.789 <report_model_3:report.py:56>
[INFO ]   threshold=0.951: fpr=0.022 tpr=0.790 <report_model_3:report.py:56>
[INFO ]   threshold=0.951: fpr=0.023 tpr=0.790 <report_model_3:report.py:56>
[INFO ]   threshold=0.948: fpr=0.023 tpr=0.801 <report_model_3:report.py:56>
[INFO ]   threshold=0.947: fpr=0.024 tpr=0.801 <report_model_3:report.py:56>
[INFO ]   threshold=0.947: fpr=0.024 tpr=0.801 <report_model_3:report.py:56>
[INFO ]   threshold=0.947: fpr=0.024 tpr=0.801 <report_model_3:report.py:56>
[INFO ]   threshold=0.945: fpr=0.024 tpr=0.805 <report_model_3:report.py:56>
[INFO ]   threshold=0.945: fpr=0.025 tpr=0.805 <report_model_3:report.py:56>
[INFO ]   threshold=0.944: fpr=0.025 tpr=0.806 <report_model_3:report.py:56>
[INFO ]   threshold=0.944: fpr=0.026 tpr=0.806 <report_model_3:report.py:56>
[INFO ]   threshold=0.942: fpr=0.026 tpr=0.815 <report_model_3:report.py:56>
[INFO ]   threshold=0.942: fpr=0.027 tpr=0.815 <report_model_3:report.py:56>
[INFO ]   threshold=0.940: fpr=0.027 tpr=0.816 <report_model_3:report.py:56>
[INFO ]   threshold=0.940: fpr=0.028 tpr=0.816 <report_model_3:report.py:56>
[INFO ]   threshold=0.939: fpr=0.028 tpr=0.819 <report_model_3:report.py:56>
[INFO ]   threshold=0.939: fpr=0.029 tpr=0.819 <report_model_3:report.py:56>
[INFO ]   threshold=0.932: fpr=0.029 tpr=0.831 <report_model_3:report.py:56>
[INFO ]   threshold=0.932: fpr=0.029 tpr=0.831 <report_model_3:report.py:56>
[INFO ]   threshold=0.930: fpr=0.029 tpr=0.834 <report_model_3:report.py:56>
[INFO ]   threshold=0.930: fpr=0.030 tpr=0.834 <report_model_3:report.py:56>
[INFO ]   threshold=0.930: fpr=0.030 tpr=0.835 <report_model_3:report.py:56>
[INFO ]   threshold=0.929: fpr=0.031 tpr=0.835 <report_model_3:report.py:56>
[INFO ]   threshold=0.926: fpr=0.031 tpr=0.840 <report_model_3:report.py:56>
[INFO ]   threshold=0.926: fpr=0.031 tpr=0.840 <report_model_3:report.py:56>
[INFO ]   threshold=0.924: fpr=0.031 tpr=0.843 <report_model_3:report.py:56>
[INFO ]   threshold=0.924: fpr=0.032 tpr=0.843 <report_model_3:report.py:56>
[INFO ]   threshold=0.922: fpr=0.032 tpr=0.846 <report_model_3:report.py:56>
[INFO ]   threshold=0.922: fpr=0.033 tpr=0.846 <report_model_3:report.py:56>
[INFO ]   threshold=0.920: fpr=0.033 tpr=0.849 <report_model_3:report.py:56>
[INFO ]   threshold=0.920: fpr=0.033 tpr=0.849 <report_model_3:report.py:56>
[INFO ]   threshold=0.917: fpr=0.033 tpr=0.854 <report_model_3:report.py:56>
[INFO ]   threshold=0.917: fpr=0.034 tpr=0.854 <report_model_3:report.py:56>
[INFO ]   threshold=0.912: fpr=0.034 tpr=0.858 <report_model_3:report.py:56>
[INFO ]   threshold=0.912: fpr=0.035 tpr=0.858 <report_model_3:report.py:56>
[INFO ]   threshold=0.904: fpr=0.035 tpr=0.863 <report_model_3:report.py:56>
[INFO ]   threshold=0.904: fpr=0.035 tpr=0.863 <report_model_3:report.py:56>
[INFO ]   threshold=0.900: fpr=0.035 tpr=0.865 <report_model_3:report.py:56>
[INFO ]   threshold=0.900: fpr=0.036 tpr=0.865 <report_model_3:report.py:56>
[INFO ]   threshold=0.897: fpr=0.036 tpr=0.868 <report_model_3:report.py:56>
[INFO ]   threshold=0.897: fpr=0.036 tpr=0.868 <report_model_3:report.py:56>
[INFO ]   threshold=0.895: fpr=0.036 tpr=0.868 <report_model_3:report.py:56>
[INFO ]   threshold=0.894: fpr=0.038 tpr=0.868 <report_model_3:report.py:56>
[INFO ]   threshold=0.890: fpr=0.038 tpr=0.871 <report_model_3:report.py:56>
[INFO ]   threshold=0.890: fpr=0.038 tpr=0.871 <report_model_3:report.py:56>
[INFO ]   threshold=0.889: fpr=0.038 tpr=0.873 <report_model_3:report.py:56>
[INFO ]   threshold=0.889: fpr=0.039 tpr=0.873 <report_model_3:report.py:56>
[INFO ]   threshold=0.885: fpr=0.039 tpr=0.875 <report_model_3:report.py:56>
[INFO ]   threshold=0.885: fpr=0.040 tpr=0.875 <report_model_3:report.py:56>
[INFO ]   threshold=0.879: fpr=0.040 tpr=0.879 <report_model_3:report.py:56>
[INFO ]   threshold=0.876: fpr=0.040 tpr=0.879 <report_model_3:report.py:56>
[INFO ]   threshold=0.871: fpr=0.040 tpr=0.881 <report_model_3:report.py:56>
[INFO ]   threshold=0.867: fpr=0.044 tpr=0.881 <report_model_3:report.py:56>
[INFO ]   threshold=0.867: fpr=0.044 tpr=0.882 <report_model_3:report.py:56>
[INFO ]   threshold=0.866: fpr=0.045 tpr=0.882 <report_model_3:report.py:56>
[INFO ]   threshold=0.864: fpr=0.045 tpr=0.883 <report_model_3:report.py:56>
[INFO ]   threshold=0.864: fpr=0.045 tpr=0.883 <report_model_3:report.py:56>
[INFO ]   threshold=0.859: fpr=0.045 tpr=0.886 <report_model_3:report.py:56>
[INFO ]   threshold=0.859: fpr=0.046 tpr=0.886 <report_model_3:report.py:56>
[INFO ]   threshold=0.859: fpr=0.046 tpr=0.886 <report_model_3:report.py:56>
[INFO ]   threshold=0.858: fpr=0.047 tpr=0.886 <report_model_3:report.py:56>
[INFO ]   threshold=0.856: fpr=0.047 tpr=0.887 <report_model_3:report.py:56>
[INFO ]   threshold=0.855: fpr=0.047 tpr=0.887 <report_model_3:report.py:56>
